strategy,heuristic,alpha,beta,avg_z,std_z,avg_n_stations,avg_cost,budget_util_pct
all-ants,cost,0.2,0.5,39564874.70500001,168632.74499999732,20.0,103595.5,98.31126927639383
all-ants,cost,0.2,1.0,37356470.614999995,43055.52499999106,20.5,104355.0,99.03202846975088
all-ants,cost,0.2,2.0,38980809.379999995,960017.7400000021,21.0,104473.5,99.14448398576512
all-ants,cost,0.5,0.5,38796695.480000004,1002265.6700000055,20.5,103682.5,98.3938315539739
all-ants,cost,0.5,1.0,38742307.705,921722.0050000064,19.5,102900.0,97.65124555160142
all-ants,cost,0.5,2.0,38335371.254999995,502925.054999996,20.5,104398.5,99.07330960854092
all-ants,cost,1.0,0.5,38997940.70999999,783451.7400000021,21.0,105018.5,99.66168446026097
all-ants,cost,1.0,1.0,36919276.344999984,267381.25499999523,21.5,104506.0,99.17532621589561
all-ants,cost,1.0,2.0,37471364.47999999,235820.60000000522,20.5,104704.0,99.3632265717675
all-ants,demand,0.2,0.5,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
all-ants,demand,0.2,1.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
all-ants,demand,0.2,2.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
all-ants,demand,0.5,0.5,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
all-ants,demand,0.5,1.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
all-ants,demand,0.5,2.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
all-ants,demand,1.0,0.5,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
all-ants,demand,1.0,1.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
all-ants,demand,1.0,2.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
all-ants,weighted_demand,0.2,0.5,38197937.87499999,1183139.1950000003,20.0,104269.0,98.95041518386714
all-ants,weighted_demand,0.2,1.0,38104726.629999995,118047.1799999997,20.0,104180.0,98.86595492289443
all-ants,weighted_demand,0.2,2.0,36375967.42,70321.54000000656,20.5,104929.0,99.5767497034401
all-ants,weighted_demand,0.5,0.5,39630615.3,416151.8200000115,20.5,105162.5,99.79833926453144
all-ants,weighted_demand,0.5,1.0,37715379.43,105206.26999999583,20.0,103567.5,98.2846975088968
all-ants,weighted_demand,0.5,2.0,37486934.66499999,587270.0850000009,20.5,104859.0,99.51032028469751
all-ants,weighted_demand,1.0,0.5,40194659.010000005,190138.75000000373,19.5,104132.0,98.82040332147093
all-ants,weighted_demand,1.0,1.0,38944674.15,73948.29999998957,20.0,105005.5,99.64934756820878
all-ants,weighted_demand,1.0,2.0,36500889.269999996,57494.35000000149,20.0,103792.0,98.49774614472123
all-ants,coverage_efficiency,0.2,0.5,38197975.825,1855292.4850000106,20.0,104971.0,99.61660735468564
all-ants,coverage_efficiency,0.2,1.0,39289201.89,605026.9600000121,19.0,104652.0,99.31387900355872
all-ants,coverage_efficiency,0.2,2.0,39894228.85000002,0.0,20.0,104410.0,99.08422301304864
